,0,1,2
10,Usher,I Don't Mind,"[Produced by Cirkut, Dr. Luke, & Rock City]

[Intro: Usher]
Yeah
Ursher, baby
This is for the A

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind

[Verse 1: Usher]
The ballers in here tonight, they gon’ buy a hundred bottles
As soon as you shake it I know they gon’ make it colossal in here
'Cause shawty you thinkin’ them tricks that you do with your body
Got all of these niggas they crowding around you like they seen Beyonce in here (she here, she here!)
You want your own and you need your own, baby, who am I to judge?
'Cause how could I ever trip about it when I met you in the club?
I make enough for the both of us, but you dance anyway
You know I was raised in the A

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind

[Verse 2: Usher]
When you get off of work I’ll be ready to go in the ‘Rari
And when we get home we’ll have us our own private party in here
So I don’t worry at all about the things they do or say
I love you anyway
You can twerk while in a split, you racking up them tips
Your body rock and your booty poppin’, I’m proud to call you my bitch
They be lookin’, but they can’t touch you, shawty, I’m the only one to get it
So just go ahead and keep doing what you doing

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind

[Verse 3: Juicy J]
(It's ya boy, Juicy J)
I’m just tryna cut her up, tryna bust a nut
Tryna take somebody bitch, turn her to a slut
Tryna fill my cup, tryna live it up
Throw some hundreds on that ass, walk her out the club
(Yeah, ho) Lap dance for the first date
Bet I threw a few bands, that’s third base
It’s okay if you work late
We can still party like it’s your birthday
We can still party hard in your birthday suit
Knock that pussy out the park like my name Babe Ruth
Shawty she just want a tip, I just want to see her strip
If you fuck me like you love me shawty you might get rich
Have her own cake, her own place
Blow her own gas, no Rolaid
When we in the bed she like to roleplay
Tell her friend to join in both ways

[Chorus: Usher]
Shawty, I don’t mind
If you dance on a pole, that don’t make you a ho
Shawty, I don’t mind
When you work until three, if you’re leaving with me
Go make that money, money, money
Your money, money, money
'Cause I know how it is, go and handle your biz
And get that money, money, money
Your money, money, money
You can take off your clothes, long as you coming home
Girl, I don’t mind"
11,Vance Joy,Riptide,"[Verse 1]
I was scared of dentists and the dark
I was scared of pretty girls and starting conversations
Oh, all my friends are turning green
You're the magician's assistant in their dreams

[Pre-Chorus]
Oh, oh-o-oh, and they come unstuck

[Chorus]
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

[Verse 2]
Here's this movie that I think you'll like
This guy decides to quit his job and heads to New York City
This cowboy's running from himself
And she's been living on the highest shelf

[Pre-Chorus]
Oh, oh-o-oh, and they come unstuck

[Chorus]
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong

[Bridge]
I just wanna, I just wanna know
If you're gonna, if you're gonna stay
I just gotta, I just gotta know
I can't have it, I can't have it any other way
I swear she's destined for the screen
Closest thing to Michelle Pfeiffer that you've ever seen, oh

[Chorus]
Lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
Oh lady, running down to the riptide
Taken away to the dark side
I wanna be your left hand man
I love you when you're singing that song and
I got a lump in my throat 'cause
You're gonna sing the words wrong
I got a lump in my throat 'cause
You're gonna sing the words wrong"
12,"Flo-Rida, Robin Thicke & Verdine White","I Don't Like It, I Love It","[Produced by Verdine White]

[Chorus: Robin Thicke]
I don't like it, I love it, love it, love it, uh oh
So good it hurts
I  don't want it, I gotta, gotta have it, uh oh
When I can't find the words
I don't like it, I love it, love it, love it, uh oh
So good it hurts
I  don't want it, I gotta, gotta have it, uh oh
When I can't find the words, I just go
I don't like it, no, I love it
I don't like it, no, I love it

[Verse 1: Flo Rida]
All out, turn the beat up
Hey now I'm glad to meet ya
Turn up girl, blow the speaker
Yeah up, think about it now, blow the speaker
I'll speak louder, let's get wild tonite
Billionaire bottles, we just down em like
Ain't no problem, all my roads are right
All right, all right

[Pre-Chorus 1: Flo Rida]
I don't like it, I love it
I got another comma in my budget
I got a anaconda in my Trukfit
Don't push it, don't push it
Cause I'ma hit it til I jackpot, that's right
Wax on baby wax off, act right
You can put it on the black card, all night
And I'll spend it, I'll spend it cause

[Chorus: Robin Thicke]
I don't like it, I love it, love it, love it, uh oh
So good it hurts
I  don't want it, I gotta, gotta have it, uh oh
When I can't find the words I just go
I don't like it, no, I love it
I don't like it, no, I love it

[Outro: Robin Thicke]
I don't like it, no, I love it
I don't like it, no, I love it

[Verse 2: Flo Rida]
All night, let me groove ya
Dance with me, turn down for who girl
Another runner help us step the moves up
Yeah bet that round need a measure or ruler
Celebrate life and I'll pay for it
That Cavalli nice next to my Tom Ford
Yeah party all night, let's all aboard
Let's all aboard, all aboard

[Pre-Chorus 2: Flo Rida]
I don't like it, I love it
And them other girls they can't touch it
Competition, that's a whole another subject
I wanna walk it out in public
You a star baby, just know, let's go
To the metro or the condo, let's go
Perfect time gotta let it flow, you know
I'm watching, I'm watching, cause

[Chorus: Robin Thicke]
I don't like it, I love it, love it, love it, uh oh
So good it hurts
I  don't want it, I gotta, gotta have it, uh oh
When I can't find the words I just go
I don't like it, no, I love it
I don't like it, no, I love it

[Bridge: Flo Rida]
Meet me at the studio
Bangarang just like Rufio
Feel the bass, let ya booty go
I wanna get inside it
Run away for a few days
Thinkin' bout love, baby touché
Tied up like a shoe lace
I don't like it, I don't like it"
13,Fall Out Boy,Centuries,"[Intro]
Du du du du-du du du
Du du du du du-du du du

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Verse 1]
Mummified my teenage dreams
No, it’s nothing wrong with me
The kids are all wrong, the story’s all off
Heavy metal broke my heart
Come on, come on, and let me in
Bruises on your thighs like my fingerprints
And this is supposed to match
The darkness that you felt
I never meant for you to fix yourself

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Verse 2]
And I can't stop 'til the whole world knows my name
Cause I was only born inside my dreams
Until you die for me, as long as there's a light, my shadow's over you
Cause I am the opposite of amnesia
And you're a cherry blossom
You're about to bloom
You look so pretty, but you're gone so soon

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries

[Bridge]
We’ve been here forever
And here’s the frozen proof
I could scream forever
We are the poisoned youth

[Chorus]
Some legends are told
Some turn to dust or to gold
But you will remember me
Remember me, for centuries
And just one mistake
Is all it will take
We'll go down in history
Remember me for centuries
Hey, hey, hey
Remember me for centuries"
14,Maroon 5,Animals,"[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 1]
So what you trying to do to me? (Hey)
It's like we can't stop, we're enemies (Hey)
But we get along when I'm inside you, yeah (Hey)
You're like a drug that's killing me (Hey)
I cut you out entirely (Hey)
But I get so high when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be (Hey)
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm... (Hey)

[Verse 2]
So if I run, it's not enough (Hey)
You're still in my head, forever stuck (Hey)
So you can do what you wanna do, yeah (Hey)
I love your lies, I'll eat 'em up (Hey)
But don't deny the animal (Hey)
That comes alive when I'm inside you

[Pre-Chorus]
Yeah, you can start over, you can run free (Hey)
You can find other fish in the sea (Hey)
You can pretend it's meant to be
But you can't stay away from me
I can still hear you making that sound (Hey)
Taking me down, rolling on the ground (Hey)
You can pretend that it was me, but no, oh (Hey)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...

[Bridge]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah, yo-oh, oh, oh, oh, oh, oh, oh
Just like animals, animals, like animals-mals (Hey, hey)
Just like animals, animals, like animals-mals, oww!
(Yeah, yeah, yeah)

[Chorus]
Baby, I'm preying on you tonight
Hunt you down, eat you alive
Just like animals, animals, like animals-mals
Maybe you think that you can hide
I can smell your scent from miles
Just like animals, animals, like animals-mals
Baby, I'm...

[Outro]
Don't tell no lie, lie, lie, lie
You can't deny-ny-ny-ny
The beast inside, si-si-side
Yeah, yeah, yeah
No girl don't lie, lie, lie, lie (No, no, don't lie)
You can't deny-ny-ny-ny (You can't deny)
The beast inside, si-si-side
Yeah, yeah, yeah"
15,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang,"[Verse 1: Jessie J]
She got a body like an hourglass
But I can give it to you all the time
She got a booty like a Cadillac
But I can send you into overdrive, oh
You've been waiting for that
Step on up, swing your bat

[Refrain: Jessie J & Ariana Grande]
See, anybody could be bad to you
You need a good girl to blow your mind, yeah

[Chorus: Jessie J]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)

[Verse 2: Ariana Grande]
She might'a let you hold her hand in school
But I'ma show you how to graduate (Mm-hmm)
No, I don't need to hear you talk the talk
Just come and show me what your momma gave ya, baby
I heard you've got a very big (Shhh)
Mouth but don’t say a thing

[Refrain: Ariana Grande & Jessie J]
See, anybody could be good to you
You need a bad girl to blow your mind

[Chorus: Jessie J & Ariana Grande]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!)

[Pre-Verse: Nicki Minaj]
You know what, girls?
Let me show you how to do it

[Verse 3: Nicki Minaj (Ariana Grande)]
It’s Myx moscato, it’s frizz in a bottle, it’s Nicki Full Throttle, it’s oh, uh
Swimming in The Grotto, we winning in the lotto, we dipping in the Powder Blue four-door
Kitten so good, it's dripping on wood, get a ride in the engine that could go
Batman, robbin' it, bang bang, cockin' it, Queen Nicki dominant, prominent
It's me, Jessie, and Ari, if they test me, they sorry
Ride his uh like a Harley then pull off in his Ferrari
If he hangin' we bangin', phone rangin', he slangin'
It ain't karaoke night but get the mic ‘cause I'm singin'
Uh, B to the A to the N to the G to the, uh (Baby, baby, baby, bae, ba—baby)
B to the A to the N to the G to the, hey

[Refrain: Jessie J]
See, anybody could be good to you
You need a bad girl to blow your mind, your mind (Okay)
Hey

[Chorus (Extended): Jessie J, Ariana Grande & Nicki Minaj]
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it) (Bang bang bang bang)
Wait a minute, let me take you there (Oh)
Wait a minute 'til you (Oh, hey!) (Yeah, uh-huh)
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute, let me take you there (Let me take you there)
Wait a minute 'til you (Oh, hey!)
Bang bang into the room (I know you want it)
Bang bang all over you (I’ll let you have it), yo, I said
Bang, bang, bang, ba—bang, bang
Bang, bang, bang, bang, ba—bang, bang
Bang bang there goes your heart (I know you want it)
Back, back seat of my car (I’ll let you have it)
Wait a minute, let me take you there
Wait a minute 'til you (Oh, hey!)

[Produced by Max Martin, Rickard Göransson & Ilya]"
16,Avicii,Waiting For Love,"[Verse 1]
Where there's a will, there's a way, kinda beautiful
And every night has its day, so magical
And if there's love in this life, there's no obstacle
That can't be defeated
For every tyrant a tear for the vulnerable
In every lost soul the bones of a miracle
For every dreamer a dream we're unstoppable
With something to believe in

[Chorus]
Monday left me broken
Tuesday I was through with hopin'
Wednesday my empty arms were open
Thursday waiting for love, waiting for love
Thank the stars it's Friday
I'm burning like a fire gone wild on Saturday
Guess I won't be coming to church on Sunday
I'll be waiting for love
Waiting for love to come around

[Verse 2]
We are one of a kind, irreplaceable
How did I get so blind and so cynical?
If there's love in this life we're unstoppable
No, we can't be defeated

[Chorus]
Monday left me broken
Tuesday I was through with hopin'
Wednesday my empty arms were open
Thursday waiting for love, waiting for love
Thank the stars it's Friday
I'm burning like a fire gone wild on Saturday
Guess I won't be coming to church on Sunday
I'll be waiting for love
Waiting for love to come around
Co-co-come around"
17,Meghan Trainor & John Legend,Like I'm Gonna Lose You,"[Verse 1: Meghan Trainor]
I found myself dreaming in silver and gold
Like a scene from a movie that every broken heart knows
We were walking on moonlight, and you pulled me close
Split second and you disappeared and then I was all alone
I woke up in tears, with you by my side
A breath of relief, and I realized
No, we're not promised tomorrow

[Hook: Meghan Trainor]
So I'm gonna love you like I'm gonna lose you
I'm gonna hold you, like I'm saying goodbye
Wherever we're standing, I won't take you for granted
Cause we'll never know when
When we'll run out of time
So I'm gonna love you, like I'm gonna lose you
I'm gonna love you, like I'm gonna lose you

[Verse 2: John Legend]
In the blink of an eye, just a whisper of smoke
You could lose everything, the truth is you never know
So I'll kiss you longer babe (hey) any chance that I get
I'll make the most of the minutes and love with no regret
So let's take our time to say what we want
Use what we got before it's all gone
'Cause no, we're not promised tomorrow

[Chorus: Meghan Trainor and John Legend]
So I'm gonna love you like I'm gonna lose you
I'm gonna hold you, like I'm saying goodbye
Wherever we're standing, I won't take you for granted
Cause we'll never know when
When we'll run out of time
So I'm gonna love you, like I'm gonna lose you
I'm gonna love you, like I'm gonna lose you

[Bridge: Meghan Trainor and John Legend]
So I'm gonna love you
Like I'm gonna lose you
I'm gonna love you
Like I'm gonna lose you

[Chorus: Meghan Trainor and John Legend]
So I'm gonna love you like I'm gonna lose you
I'm gonna hold you, like I'm saying goodbye
Wherever we're standing, I won't take you for granted
Cause we'll never know when
When we'll run out of time
So I'm gonna love you, like I'm gonna lose you
I'm gonna love you, like I'm gonna lose you"
18,T-Wayne,Nasty Freestyle,"[Produced by 30 Roc]

[Intro]
Yah, say Roro, you know what it is, right?
Who Is Rickey Wayne?: The Mixtape
Ya feel me? Yah, ahem

[Verse]
First, let me hop out the muh fuckin' Porsche
I don't want her if that ass don't sit like a horse
I be ballin' on these niggas, got me feelin' like sports
Dash got so much wood I could build me a fort
Ain't too many things I ain't done yet
I'm the king of this shit, crown by the toilet
I'm just barely gettin' started, you already upset
Got a tiger as a pet, I just took him to the vet
Homie, I be makin' hits, I'm the rap Derek Jeter
Let your bitch ride on me like she was on the feeder
If the pussy ain't good then I probably won't feed her
Lil homie, you can keep her cause I really don't need her
I ain't worried 'bout features, homeboy, you's a peon
Toilet seat ass nigga, man, I swear you gettin' peed on
Man, my jewelry so cold, I walk around with the heat on
My alarm clock set, just in case they wanna sleep on, ya dig?
I'm a full-time player, hoppin' out in alligator
Sippin' lean and Now and Later, homie, I'll annihilate ya
If you think you wanna battle, you gon' have to pay some paper
I just hit her and I quit her, I would never ever date her
It's a shame how I'm barely gettin' love in the city
Travel to another town, you can bet they fuckin' with me
I be killin' this shit, pray to God they forgive me
They said, ""when you blow up, don't forget me"", man
I been on fire ever since they made the lighter
My boys will pull up on ya, homie, I ain't talkin' diapers
Walk into your function, on point, I'm like a sniper
My girl bad like Dej Loaf so don't try her
Flexin' all you want but homeboy, you ain't ready
Ten times sharper than Michael Myers' machete
Been about the money, I ain't worried 'bout the fame
'Bout to have everybody sayin', ""Who Is Rickey Wayne?""
That me..."
19,Ariana Grande,Love Me Harder,"[Verse 1: Ariana Grande]
Tell me something I need to know
Then take my breath and never let it go
If you just let me invade your space
I’ll take the pleasure, take it with the pain
And if in the moment I bite my lip
Baby, in that moment, you’ll know this is
Something bigger than us and beyond bliss
Give me a reason to believe it

[Chorus: Ariana Grande]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder

[Verse 2: The Weeknd]
I know your motives and you know mine
The ones that love me, I tend to leave behind
If you know about me and choose to stay
Then take this pleasure and take it with the pain
And if in the moment you bite your lip
When I get you moaning, you know it's real
Can you feel the pressure between your hips?
I’ll make it feel like the first time

[Chorus: Ariana Grande, The Weeknd]
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you harder, hey!)
And if you really need me
You gotta, gotta, gotta, gotta
Got to love me harder (baby I love you) (lo-love me harder)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (oh)
Ooh-ooh-ooh-ooh
Love me, love me, love me
Ooh-ooh-ooh-ooh
Harder, harder, harder (you gotta love me harder)

[Bridge: The Weeknd, Ariana Grande]
So what do I do if I can’t figure it out?
You got to try, try, try again, yeah (oh whoa)
So what do I do if I can’t figure it out?
I’m gonna leave, leave, leave again

[Chorus: Ariana Grande, The Weeknd, both]
'Cause if you want to keep me (hey!)
You gotta, gotta, gotta, gotta
Got to love me harder (I'ma love you, love you, love)
And if you really need me (ooh)
You gotta, gotta, gotta, gotta
Got to love me harder (got to love me, baby)
'Cause if you want to keep me
You gotta, gotta, gotta, gotta
Got to love me harder (love me harder, love me harder)
And if you really need me
You gotta, gotta, gotta, gotta (I'ma do it, do it, do it)
Got to love me harder (I'ma love you harder, hey!)

[Outro: Ariana Grande, The Weeknd]
Ooh-ooh-ooh-ooh
Love me, love me, love me (love me)
Ooh-ooh-ooh-ooh
Harder, harder, harder (boy you gotta love me, love me, baby)
Ooh-ooh-ooh-ooh
Love me, love me, love me (just a little bit harder, harder, baby)
Ooh-ooh-ooh-ooh
Harder, harder, harder"
20,John Legend,All Of Me,"[Verse 1]
What would I do without your smart mouth?
Drawin' me in and you kickin' me out
You've got my head spinnin', no kiddin'
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

[Pre-Chorus]
My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you, oh-oh

[Verse 2]
How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

[Pre-Chorus]
My head's under water, but I'm breathin' fine
You're crazy and I'm out of my mind

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you, oh-oh

[Bridge]
Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

[Chorus]
'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'

[Post-Chorus]
'Cause I give you all of me
And you give me all of you

[Outro]
I give you all of me
And you give me all of you, oh-oh"
21,Elle King,Ex's & Oh's,"[Verse 1]
Well, I had me a boy, turned him into a man
I showed him all the things that he didn't understand
Whoa, and then I let him go
Now, there's one in California who's been cursin' my name
'Cause I found me a better lover in the UK
Hey, hey, until I made my getaway

[Pre-Chorus 1]
One, two, three, they're gonna run back to me
Cause I'm the best baby that they never gotta keep
One, two, three, they're gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 1]
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and oh's

[Verse 2]
I had a summer lover down in New Orleans
Kept him warm in the winter, left him frozen in the spring
My, my, how the seasons go by
I get high, and I love to get low
So the hearts keep breaking, and the heads just roll
You know that's how the story goes

[Pre-Chorus 1]
One, two, three, they're gonna run back to me
'Cause I'm the best baby that they never gotta keep
One, two, three, they're gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 2]
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and the oh, oh, oh's they haunt me
Like gho-o-osts they want me to make 'em oh, oh, oh
They won't let go
Ex's and oh's

[Pre-Chorus 2]
One, two, three, they gonna run back to me
Climbing over mountains and a-sailing over seas
One, two, three, they gonna run back to me
They always wanna come, but they never wanna leave

[Chorus 2]
My ex’s and the oh, oh, oh’s they haunt me
Like gho-o-osts they want me to make ‘em oh, oh, oh
They won’t let go
Ex’s and the oh, oh, oh’s they haunt me
Like gho-o-osts they want me to make ‘em oh, oh, oh
They won’t let go
Ex’s and oh’s"
